"Nicolas Azevedo",4892,853.23
"Fabiana Marinho",2220,429.95
"Marta Alves",5353,526.77
"Jefferson Bezerra",1191,165.75
"Lucas Amorim",5486,946.26
"Flávio Antunes",5123,753.99
"Felipe Xavier",6864,646.31
"Flávio Campos",1979,824.35
"Robson Maia",2634,761.7
"Beatriz Pereira",2681,232.01
"Hugo Correia",5213,489.72
"Heitor Valentim",4348,90.17
"Nicolas Magalhães",3962,940.61
"William Pinto",4353,858.43
"Jéssica Bonfim",3227,676.87
"Beatriz Rodrigues",6278,199.69
"Flávia Moreira",3850,351.84
"Robson Severino",4531,811.21
"Kátia Camargo",4581,827.96
"Rebeca Pereira",5298,331.74
"Giovana Ferreira",3949,949.24
"Daniel Sales",1691,743.3
"Sandra Magalhães",6855,797.96
"Clara Passos",1328,375.57
"Bruna Lima",5906,345.77
"Jefferson Torres",3591,534.26
"Camila Lacerda",1185,819.2
"Thiago Jesus",6333,880.77
"Jacqueline Martins",1431,895.48
"Vanessa Cardoso",2977,375.8
"Rodrigo Arruda",4399,413.59
"Beatriz Arruda",3292,643.79
"Lívia Leite",1052,150.34
"Rebeca Cavalcanti",4478,28.07
"Rafaela Amorim",4201,189.68
"Wallace Valente",4919,750.52
"Luiza Valente",6310,11.58
"Eduardo Carvalho",1322,295.48
"Fábio Peixoto",2330,490.29
"Diego Bonfim",4806,488.3
"Rafaela Gomes",4935,65.66
"Jorge Oliveira",4915,607.12
"Gustavo Xavier",6318,133.87
"Rodrigo Torres",5660,133.46
"Stella Coelho",5649,172.82
"Michelle Marinho",1716,17.96
"Aline Abreu",1896,383.25
"Gustavo Pacheco",3779,45.86
"Pedro Amaral",6518,51.79
"Tatiana Cardoso",2285,236.64
"Patrícia Santos",2402,452.49
"Renan Abreu",4065,129.5
"João Amorim",2565,283.41
"Luiza Couto",1119,181.77
"Luciana Rezende",6790,673.77
"Gisele Mendes",1841,531.56
"Diego Macedo",2236,648.77
"Gabriele Morais",1033,560.26
"Lucas Meireles",2290,471.65
"Letícia Santos",3527,887.46
"Heitor Rodrigues",6722,549.06
"Tatiane Jesus",5954,786.59
"Flávio Maciel",1426,690.97
"Heitor Bezerra",2873,175.2
"Gabriel Rezende",6142,314.69
"Heitor Mendes",6915,261.05
"Helena Bonfim",3006,520.81
"Raquel Coelho",2131,502.05
"Murilo Amorim",5199,850.04
"Daniel Sales",1691,814.11
"Larissa Ferreira",3770,964.77
"Flávio Domingues",4882,73.82
"Letícia Barros",2182,193.3
"Camila Bernardo",3170,819.2
"Emerson Silva",3787,155.81
"Hugo Camargo",4515,570.87
"Vivian Leite",5674,538.37
"Diego Figueiredo",3989,942.84
"Sofia Barros",5910,37.18
"Igor Gomes",1781,696.08
"Ingrid Figueiredo",6232,928.07
"Tainá Rezende",2704,229.71
"Samuel Alves",2623,178.77
"Sara Batista",6496,921.09
"Giovana Maia",4405,2.89
"Helena Muniz",2795,183.02
"Igor Gomes",1781,388.75
"Leonardo Martins",6086,355.69
"Clara Fonseca",5975,766.97
"Natália Peixoto",4542,450.8
"Rebeca Rezende",1856,818.74
"Priscila Passos",2097,36.38
"Simone Valentim",4549,391.48
"Pedro Leite",6862,29.68
"Isabela Figueiredo",4556,749.56
"Joaquim Barbosa",1954,639.96
"Letícia Pereira",3324,513.2
"Renata Peixoto",5886,899.85
"Marta Nascimento",1350,507.41
"Isabela Lima",4363,204.09
"Vivian Fernandes",4887,757.94
"João Maciel",4352,285.52
"Paula Barros",3480,132.11
"Helena Antunes",3531,178.26
"Sofia Meireles",5702,155.32
"Larissa Ribeiro",4407,427.45
"Marcelo Chaves",1820,264.29
"Jacqueline Coelho",5644,97.57
"Nicolas Tavares",2952,68.67
"Murilo Medeiros",1477,938.79
"Nicolas Almeida",1110,23.46
"Cristina Amorim",6322,454.76
"Jacqueline Oliveira",3559,387.65
"Igor Gomes",1781,767.83
"Sara Pereira",3853,892.55
"Patrícia Garcia",1907,863.92
"Heitor Freitas",1408,902.35
"Beatriz Morais",2620,154.4
"Michelle Neves",5011,898.44
"Jéssica Cardoso",1277,305.92
"Vivian Magalhães",3135,270.65
"Roberta Dias",3571,195.91
"Estela Pereira",1762,141.05
"Ana Magalhães",4907,558.72
"Vinícius Batista",6098,563.2
"Jorge Pinto",4943,317.68
"Lívia Leite",1052,470.21
"Heitor Bezerra",2873,270.85
"Lorena Andrade",1484,839.63
"Marcelo Nogueira",1551,655.6
"Stella Passos",3177,125.45
"Wallace Peixoto",6675,764.91
"José Bittencourt",5950,261.74
"Flávia Garcia",6867,360.48
"Bianca Nogueira",6007,146.71
"André Dias",3491,365.15
"Stella Cardoso",4235,771.83
"Caio Delgado",1520,831.56
"Paula Lacerda",2700,23.36
"Gisele Teixeira",3269,268.46
"Flávia Garcia",6867,404.22
"Roberta Moreira",2103,327.05
"Luciana Soares",1798,810.34
"Bruna Camargo",6223,910.17
"Cristina Amorim",6322,381.05
"Juliana Gomes",2379,156.37
"Jefferson Torres",3591,87.98
"Vitor Xavier",6785,971.67
"Gabriel Souza",1547,33.2
"André Rocha",6031,393.2
"Rafaela Macedo",3138,562.97
"Patrícia Alves",2296,578.44
"Mariana Camargo",1126,95.74
"Cristina Queiroz",6474,361.55
"Marta Figueiredo",3986,261.65
"Stella Souza",4908,84.37
"Isabela Drumond",6090,202.88
"Clara Marinho",6233,638.34
"Lívia Leite",1052,695.36
"Pedro Maciel",6236,458.25
"Pedro Silva",6680,387.67
"Estela Garcia",2114,642.95
"Rafael Valentim",5147,509.26
"Pedro Ferreira",2252,168.65
"Leonardo Santos",4785,217.57
"William Sales",2594,750.21
"Bianca Maciel",3169,297.57
"Gabriel Meireles",6860,651.68
"Roberta Morais",2664,932.15
"Daniel Bezerra",2478,394.68
"Yasmin Valentim",5650,357.77
"Paula Muniz",1047,518.88
"Matheus Maia",4192,355.86
"Manuela Arruda",5704,484.0
"Carlos Barbosa",3080,923.44
"Jefferson Dias",1531,31.35
"Isabela Figueiredo",4556,918.66
"Daniel Santos",6049,562.63
"Paulo Sales",3316,719.25
"Gisele Andrade",5118,567.22
"André Assis",5708,187.1
"Carlos Passos",6324,629.03
"Renan Meireles",2412,982.68
"Paulo Queiroz",6415,529.5
"William Bittencourt",5462,576.79
"Lívia Silva",2878,759.48
"Marcos Pacheco",4754,309.25
"Sofia Monteiro",3338,918.92
"Jéssica Lacerda",1831,400.17
"Rebeca Teles",3065,470.13
"Jorge Magalhães",5091,553.2
"Igor Araújo",5372,196.13
"Flávia Nascimento",2910,122.86
"Simone Coelho",5335,411.36
"William Moreira",1237,878.0
"Ingrid Sá",6919,54.32
"Flávio Rezende",2528,681.15
"Estela Meireles",3927,347.0
"Michelle Rocha",6713,361.1
"Tainá Santos",1500,863.42
"Marcelo Valente",5691,627.61
"Cristina Queiroz",6474,441.48
"Flávio Moura",5350,811.34
"Thiago Gomes",6164,918.17
"Raquel Barbosa",6648,310.52
"Flávia Siqueira",1626,413.03
"Beatriz Severino",4501,614.91
"Cristina Amorim",6322,890.4
"Wallace Bernardo",3290,807.49
"Joaquim Alves",5920,789.35
"Helena Antunes",3531,632.98
"Rafaela Bittencourt",2447,465.7
"Helena Abreu",5985,659.28
"Vivian Maciel",5678,270.65
"Gabriele Almeida",3579,943.43
"Joaquim Fernandes",6780,78.29
"Estela Fonseca",2216,574.12
"Paulo Freitas",2238,419.64
"Heitor Soares",4560,246.52
"Renata Antunes",5495,802.45
